seconds,page,similarity
29.0,0,0.9955
30.0,0,0.9955
31.0,1,0.995
32.0,1,0.995
33.0,1,0.995
173.0,1,0.9941
174.0,1,0.996
175.0,1,0.9958
176.0,1,0.9958
177.0,2,0.9914
353.0,2,0.9894
354.0,2,0.9906
355.0,2,0.9906
356.0,2,0.9894
357.0,3,0.9927
395.0,3,0.9946
396.0,3,0.9947
397.0,3,0.9947
398.0,3,0.9932
399.0,4,0.9956
454.0,4,0.9958
455.0,4,0.9958
456.0,4,0.9958
457.0,4,0.9958
458.0,5,0.9956
619.0,5,0.9935
620.0,5,0.9935
621.0,5,0.9935
622.0,5,0.993
623.0,6,0.9907
702.0,6,0.9954
703.0,6,0.9954
704.0,6,0.9954
705.0,6,0.9954
706.0,7,0.9962
819.0,7,0.9965
820.0,7,0.9959
821.0,7,0.9959
822.0,7,0.9959
823.0,8,0.9973
891.0,8,0.9949
892.0,8,0.9959
893.0,8,0.9954
894.0,8,0.9954
895.0,9,0.9968
925.0,9,0.9926
926.0,9,0.9926
927.0,9,0.9926
928.0,9,0.9927
929.0,10,0.9943
986.0,10,0.9955
987.0,10,0.995
988.0,10,0.995
989.0,10,0.995
990.0,11,0.9961
1074.0,11,0.9681
1075.0,11,0.9681
1076.0,11,0.9687
1077.0,11,0.9679
1078.0,12,0.997
1131.0,12,0.9619
1132.0,12,0.9619
1133.0,12,0.9652
1134.0,12,0.9647
1135.0,13,0.9859
1182.0,13,0.9961
1183.0,13,0.9968
1184.0,13,0.9963
1185.0,13,0.9955
1186.0,14,0.9946
1253.0,14,0.9944
1254.0,14,0.9953
1255.0,14,0.9953
1256.0,14,0.9952
1257.0,15,0.998
1296.0,15,0.997
1297.0,15,0.9968
1298.0,15,0.9947
1299.0,15,0.9948
1300.0,16,0.9967
1458.0,16,0.9968
1459.0,16,0.9969
1460.0,16,0.9967
1461.0,16,0.9967
1462.0,17,0.9973
1487.0,17,0.9968
1488.0,17,0.9955
1489.0,17,0.9961
1490.0,17,0.9964
1491.0,16,0.9967
1500.0,16,0.9956
1501.0,16,0.996
1502.0,16,0.9958
1503.0,16,0.9957
1504.0,18,0.9931
1578.0,18,0.9895
1579.0,18,0.9895
1580.0,18,0.9895
1581.0,18,0.9895
1582.0,16,0.9964
1589.0,16,0.9965
1590.0,16,0.9957
1591.0,16,0.9971
1592.0,16,0.9967
1593.0,19,0.9966
1780.0,19,0.9951
1781.0,19,0.9951
1782.0,19,0.9951
1783.0,19,0.9951
1784.0,16,0.9965
1825.0,16,0.9947
1826.0,16,0.9943
1827.0,16,0.9951
1828.0,16,0.9948
1829.0,20,0.9943
1942.0,20,0.9977
1943.0,20,0.9977
1944.0,20,0.9977
1945.0,20,0.9977
1946.0,21,0.9955
2006.0,21,0.9971
2007.0,21,0.9969
2008.0,21,0.996
2009.0,21,0.995
2010.0,22,0.9969
2078.0,22,0.9962
2079.0,22,0.9965
2080.0,22,0.9961
2081.0,22,0.9961
2082.0,23,0.995
2109.0,23,0.9963
2110.0,23,0.9967
2111.0,23,0.9972
2112.0,23,0.9972
2113.0,24,0.9981
2166.0,24,0.9979
2167.0,24,0.9976
2168.0,24,0.9977
2169.0,24,0.9977
2170.0,25,0.9952
2227.0,25,0.9912
2228.0,25,0.9912
2229.0,25,0.9912
2230.0,25,0.9912
2231.0,26,0.9978
2251.0,26,0.9975
2252.0,26,0.997
2253.0,26,0.9969
2254.0,26,0.9968
2255.0,27,0.9975
2283.0,27,0.9976
2284.0,27,0.9976
2285.0,27,0.9976
2286.0,27,0.9976
2287.0,28,0.9942
2382.0,28,0.9921
2383.0,28,0.9903
2384.0,28,0.9904
2385.0,28,0.9904
2386.0,29,0.9933
2442.0,29,0.985
2443.0,29,0.9813
2444.0,29,0.9813
2445.0,29,0.9813
2446.0,28,0.8927
2481.0,28,0.8952
2482.0,28,0.8971
2483.0,28,0.8956
2484.0,28,0.8936
2485.0,30,0.9972
2556.0,30,0.9965
2557.0,30,0.9965
2558.0,30,0.9965
2559.0,30,0.9965
2560.0,31,0.9965
2603.0,31,0.9971
2604.0,31,0.9971
2605.0,31,0.9971
2606.0,31,0.9971
2607.0,32,0.9961
2617.0,32,0.9967
2618.0,32,0.9967
2619.0,32,0.9967
2620.0,32,0.9967
2621.0,32,0.8625
2623.0,32,0.8625
2624.0,32,0.8625
2625.0,32,0.8635
2626.0,32,0.8639
2627.0,32,0.8612
2631.0,32,0.8597
2632.0,32,0.8571
2633.0,32,0.8612
2634.0,32,0.865
2635.0,32,0.8638
2634.0,32,0.865
2635.0,32,0.8638
2636.0,32,0.8636
2637.0,32,0.8636
